id,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults,kfold,X_Range,Y_Range,Luminosity_Range,Area_Perimeter_Ratio
10214,1059,1080,1736811,1736822,254,25,26,28697,108,134,1364,0,1,40,0.4254,0.4368,0.55,0.0103,0.56,0.9615,1.0,2.4048,1.1461,1.3979,0.45,-0.0632,0.6079,0,0,0,0,0,1,0,4,21,11,26,4.980392156862745
16707,99,166,261713,261732,709,84,33,66987,64,124,1362,1,0,100,0.1357,0.5436,0.1275,0.0404,0.7576,0.8182,1.0,2.8722,1.7243,1.5051,0.8726,-0.2262,0.9997,0,0,0,0,0,1,0,4,67,19,60,6.05982905982906
3997,1325,1332,1715283,1715348,134,23,21,13352,67,127,1356,0,1,40,0.0296,0.2222,0.5714,0.0059,0.381,1.0,1.0,2.1271,0.9031,1.3222,0.4286,-0.1646,0.417,1,0,0,0,0,0,0,3,7,65,60,3.0454545454545454
1441,39,211,1682722,1682891,10986,572,370,1245114,38,127,1402,0,1,40,0.0556,0.5432,0.9483,0.123,0.2834,0.3846,0.0,4.0391,2.2355,2.233,-0.0517,-0.0988,1.0,0,0,1,0,0,0,0,4,172,169,89,11.662420382165605
8815,41,214,1679793,1679864,6172,302,158,674120,42,124,1358,0,1,40,0.0604,0.4595,0.3815,0.1274,0.5795,0.4114,0.0,3.7913,2.238,1.8261,-0.6185,-0.1926,1.0,0,0,1,0,0,0,0,1,173,71,82,13.417391304347825
8077,174,194,1809470,1809524,131,37,20,11931,88,124,1356,1,0,70,0.2675,0.7516,0.8095,0.0155,0.5946,0.85,0.0,2.1173,1.3222,1.2305,-0.1905,-0.218,0.5903,0,1,0,0,0,0,0,2,20,54,36,2.2982456140350878
10106,0,225,4758137,4758179,6430,276,151,651641,78,127,1358,0,1,40,0.0,0.4772,0.4735,0.1664,0.7472,0.6302,0.0,3.8082,2.3541,1.9345,-0.5265,-0.1698,1.0,0,0,1,0,0,0,0,0,225,42,49,15.058548009367682
8556,1641,1666,2433462,2433491,265,24,23,23784,73,109,1692,1,0,80,0.0251,0.5371,0.7059,0.0095,0.5833,0.913,1.0,2.4232,1.2041,1.3617,0.2941,-0.2397,0.6438,0,0,0,0,0,1,0,3,25,29,36,5.638297872340425
10115,41,216,4358896,4358964,6294,289,155,661448,42,124,1358,0,1,40,0.0604,0.4843,0.3853,0.1248,0.6228,0.425,0.0,3.7989,2.243,1.8325,-0.6148,-0.179,1.0,0,0,1,0,0,0,0,0,175,68,82,14.175675675675675
6147,853,861,1084661,1084680,210,16,21,23587,94,132,1690,1,0,60,0.8177,0.2571,0.4286,0.0083,0.8125,1.0,1.0,2.3222,1.1461,1.3222,0.5714,-0.1264,0.5951,0,0,0,0,0,1,0,4,8,19,38,5.675675675675675
